Year,Period,State,Data Item,Value,,
2019,YEAR,Alabama,FARM OPERATIONS - ACRES OPERATED,8300000,,
2019,YEAR,Alaska,FARM OPERATIONS - ACRES OPERATED,850000,,
2019,YEAR,Arizona,FARM OPERATIONS - ACRES OPERATED,26200000,,
2019,YEAR,Arkansas,FARM OPERATIONS - ACRES OPERATED,14000000,,
2019,YEAR,California,FARM OPERATIONS - ACRES OPERATED,24300000,,
2019,YEAR,Colorado,FARM OPERATIONS - ACRES OPERATED,31800000,,
2019,YEAR,Connecticut,FARM OPERATIONS - ACRES OPERATED,380000,,
2019,YEAR,Delaware,FARM OPERATIONS - ACRES OPERATED,530000,,
2019,YEAR,Florida,FARM OPERATIONS - ACRES OPERATED,9700000,,
2019,YEAR,Georgia,FARM OPERATIONS - ACRES OPERATED,10200000,,
2019,YEAR,Hawaii,FARM OPERATIONS - ACRES OPERATED,1100000,,
2019,YEAR,Idaho,FARM OPERATIONS - ACRES OPERATED,11500000,,
2019,YEAR,Illinois,FARM OPERATIONS - ACRES OPERATED,27000000,,
2019,YEAR,Indiana,FARM OPERATIONS - ACRES OPERATED,14900000,,
2019,YEAR,Iowa,FARM OPERATIONS - ACRES OPERATED,30600000,,
2019,YEAR,Kansas,FARM OPERATIONS - ACRES OPERATED,45700000,,
2019,YEAR,Kentucky,FARM OPERATIONS - ACRES OPERATED,12900000,,
2019,YEAR,Louisiana,FARM OPERATIONS - ACRES OPERATED,8000000,,
2019,YEAR,Maine,FARM OPERATIONS - ACRES OPERATED,1300000,,
2019,YEAR,Maryland,FARM OPERATIONS - ACRES OPERATED,2000000,,
2019,YEAR,Massachusetts,FARM OPERATIONS - ACRES OPERATED,500000,,
2019,YEAR,Michigan,FARM OPERATIONS - ACRES OPERATED,9800000,,
2019,YEAR,Minnesota,FARM OPERATIONS - ACRES OPERATED,25500000,,
2019,YEAR,Mississippi,FARM OPERATIONS - ACRES OPERATED,10400000,,
2019,YEAR,Missouri,FARM OPERATIONS - ACRES OPERATED,27600000,,
2019,YEAR,Montana,FARM OPERATIONS - ACRES OPERATED,58000000,,
2019,YEAR,Nebraska,FARM OPERATIONS - ACRES OPERATED,44900000,,
2019,YEAR,Nevada,FARM OPERATIONS - ACRES OPERATED,6100000,,
2019,YEAR,New Hampshire,FARM OPERATIONS - ACRES OPERATED,430000,,
2019,YEAR,New Jersey,FARM OPERATIONS - ACRES OPERATED,750000,,
2019,YEAR,New Mexico,FARM OPERATIONS - ACRES OPERATED,40000000,,
2019,YEAR,New York,FARM OPERATIONS - ACRES OPERATED,6900000,,
2019,YEAR,North Carolina,FARM OPERATIONS - ACRES OPERATED,8400000,,
2019,YEAR,North Dakota,FARM OPERATIONS - ACRES OPERATED,39300000,,
2019,YEAR,Ohio,FARM OPERATIONS - ACRES OPERATED,13600000,,
2019,YEAR,Oklahoma,FARM OPERATIONS - ACRES OPERATED,34400000,,
2019,YEAR,Oregon,FARM OPERATIONS - ACRES OPERATED,15800000,,
2019,YEAR,Other States,FARM OPERATIONS - ACRES OPERATED,0,,
2019,YEAR,Pennsylvania,FARM OPERATIONS - ACRES OPERATED,7300000,,
2019,YEAR,Rhode Island,FARM OPERATIONS - ACRES OPERATED,60000,,
2019,YEAR,South Carolina,FARM OPERATIONS - ACRES OPERATED,4800000,,
2019,YEAR,South Dakota,FARM OPERATIONS - ACRES OPERATED,43200000,,
2019,YEAR,Tennessee,FARM OPERATIONS - ACRES OPERATED,10800000,,
2019,YEAR,Texas,FARM OPERATIONS - ACRES OPERATED,126500000,,
2019,YEAR,Utah,FARM OPERATIONS - ACRES OPERATED,10700000,,
2019,YEAR,Vermont,FARM OPERATIONS - ACRES OPERATED,1200000,,
2019,YEAR,Virginia,FARM OPERATIONS - ACRES OPERATED,7800000,,
2019,YEAR,Washington,FARM OPERATIONS - ACRES OPERATED,14600000,,
2019,YEAR,West Virginia,FARM OPERATIONS - ACRES OPERATED,3500000,,
2019,YEAR,Wisconsin,FARM OPERATIONS - ACRES OPERATED,14300000,,
2019,YEAR,Wyoming,FARM OPERATIONS - ACRES OPERATED,29000000,,
2018,YEAR,Alabama,FARM OPERATIONS - ACRES OPERATED,8500000,,
2018,YEAR,Alaska,FARM OPERATIONS - ACRES OPERATED,850000,,
2018,YEAR,Arizona,FARM OPERATIONS - ACRES OPERATED,26200000,,
2018,YEAR,Arkansas,FARM OPERATIONS - ACRES OPERATED,13900000,,
2018,YEAR,California,FARM OPERATIONS - ACRES OPERATED,24300000,,
2018,YEAR,Colorado,FARM OPERATIONS - ACRES OPERATED,31800000,,
2018,YEAR,Connecticut,FARM OPERATIONS - ACRES OPERATED,380000,,
2018,YEAR,Delaware,FARM OPERATIONS - ACRES OPERATED,530000,,
2018,YEAR,Florida,FARM OPERATIONS - ACRES OPERATED,9700000,,
2018,YEAR,Georgia,FARM OPERATIONS - ACRES OPERATED,10100000,,
2018,YEAR,Hawaii,FARM OPERATIONS - ACRES OPERATED,1100000,,
2018,YEAR,Idaho,FARM OPERATIONS - ACRES OPERATED,11600000,,
2018,YEAR,Illinois,FARM OPERATIONS - ACRES OPERATED,27000000,,
2018,YEAR,Indiana,FARM OPERATIONS - ACRES OPERATED,15000000,,
2018,YEAR,Iowa,FARM OPERATIONS - ACRES OPERATED,30600000,,
2018,YEAR,Kansas,FARM OPERATIONS - ACRES OPERATED,45800000,,
2018,YEAR,Kentucky,FARM OPERATIONS - ACRES OPERATED,12900000,,
2018,YEAR,Louisiana,FARM OPERATIONS - ACRES OPERATED,8000000,,
2018,YEAR,Maine,FARM OPERATIONS - ACRES OPERATED,1300000,,
2018,YEAR,Maryland,FARM OPERATIONS - ACRES OPERATED,2000000,,
2018,YEAR,Massachusetts,FARM OPERATIONS - ACRES OPERATED,500000,,
2018,YEAR,Michigan,FARM OPERATIONS - ACRES OPERATED,9800000,,
2018,YEAR,Minnesota,FARM OPERATIONS - ACRES OPERATED,25500000,,
2018,YEAR,Mississippi,FARM OPERATIONS - ACRES OPERATED,10400000,,
2018,YEAR,Missouri,FARM OPERATIONS - ACRES OPERATED,27700000,,
2018,YEAR,Montana,FARM OPERATIONS - ACRES OPERATED,58000000,,
2018,YEAR,Nebraska,FARM OPERATIONS - ACRES OPERATED,45000000,,
2018,YEAR,Nevada,FARM OPERATIONS - ACRES OPERATED,6100000,,
2018,YEAR,New Hampshire,FARM OPERATIONS - ACRES OPERATED,430000,,
2018,YEAR,New Jersey,FARM OPERATIONS - ACRES OPERATED,750000,,
2018,YEAR,New Mexico,FARM OPERATIONS - ACRES OPERATED,40500000,,
2018,YEAR,New York,FARM OPERATIONS - ACRES OPERATED,6900000,,
2018,YEAR,North Carolina,FARM OPERATIONS - ACRES OPERATED,8400000,,
2018,YEAR,North Dakota,FARM OPERATIONS - ACRES OPERATED,39300000,,
2018,YEAR,Ohio,FARM OPERATIONS - ACRES OPERATED,13900000,,
2018,YEAR,Oklahoma,FARM OPERATIONS - ACRES OPERATED,34200000,,
2018,YEAR,Oregon,FARM OPERATIONS - ACRES OPERATED,16000000,,
2018,YEAR,Other States,FARM OPERATIONS - ACRES OPERATED,0,,
2018,YEAR,Pennsylvania,FARM OPERATIONS - ACRES OPERATED,7300000,,
2018,YEAR,Rhode Island,FARM OPERATIONS - ACRES OPERATED,60000,,
2018,YEAR,South Carolina,FARM OPERATIONS - ACRES OPERATED,4800000,,
2018,YEAR,South Dakota,FARM OPERATIONS - ACRES OPERATED,43200000,,
2018,YEAR,Tennessee,FARM OPERATIONS - ACRES OPERATED,10900000,,
2018,YEAR,Texas,FARM OPERATIONS - ACRES OPERATED,127000000,,
2018,YEAR,Utah,FARM OPERATIONS - ACRES OPERATED,10700000,,
2018,YEAR,Vermont,FARM OPERATIONS - ACRES OPERATED,1200000,,
2018,YEAR,Virginia,FARM OPERATIONS - ACRES OPERATED,7800000,,
2018,YEAR,Washington,FARM OPERATIONS - ACRES OPERATED,14700000,,
2018,YEAR,West Virginia,FARM OPERATIONS - ACRES OPERATED,3600000,,
2018,YEAR,Wisconsin,FARM OPERATIONS - ACRES OPERATED,14300000,,
2018,YEAR,Wyoming,FARM OPERATIONS - ACRES OPERATED,29000000,,
2017,YEAR,Alabama,FARM OPERATIONS - ACRES OPERATED,8600000,,
2017,YEAR,Alaska,FARM OPERATIONS - ACRES OPERATED,850000,,
2017,YEAR,Arizona,FARM OPERATIONS - ACRES OPERATED,26100000,,
2017,YEAR,Arkansas,FARM OPERATIONS - ACRES OPERATED,13900000,,
2017,YEAR,California,FARM OPERATIONS - ACRES OPERATED,24500000,,
2017,YEAR,Colorado,FARM OPERATIONS - ACRES OPERATED,31800000,,
2017,YEAR,Connecticut,FARM OPERATIONS - ACRES OPERATED,380000,,
2017,YEAR,Delaware,FARM OPERATIONS - ACRES OPERATED,530000,,
2017,YEAR,Florida,FARM OPERATIONS - ACRES OPERATED,9700000,,
2017,YEAR,Georgia,FARM OPERATIONS - ACRES OPERATED,10000000,,
2017,YEAR,Hawaii,FARM OPERATIONS - ACRES OPERATED,1100000,,
2017,YEAR,Idaho,FARM OPERATIONS - ACRES OPERATED,11700000,,
2017,YEAR,Illinois,FARM OPERATIONS - ACRES OPERATED,27000000,,
2017,YEAR,Indiana,FARM OPERATIONS - ACRES OPERATED,15000000,,
2017,YEAR,Iowa,FARM OPERATIONS - ACRES OPERATED,30600000,,
2017,YEAR,Kansas,FARM OPERATIONS - ACRES OPERATED,45800000,,
2017,YEAR,Kentucky,FARM OPERATIONS - ACRES OPERATED,13000000,,
2017,YEAR,Louisiana,FARM OPERATIONS - ACRES OPERATED,8000000,,
2017,YEAR,Maine,FARM OPERATIONS - ACRES OPERATED,1300000,,
2017,YEAR,Maryland,FARM OPERATIONS - ACRES OPERATED,2000000,,
2017,YEAR,Massachusetts,FARM OPERATIONS - ACRES OPERATED,490000,,
2017,YEAR,Michigan,FARM OPERATIONS - ACRES OPERATED,9800000,,
2017,YEAR,Minnesota,FARM OPERATIONS - ACRES OPERATED,25500000,,
2017,YEAR,Mississippi,FARM OPERATIONS - ACRES OPERATED,10400000,,
2017,YEAR,Missouri,FARM OPERATIONS - ACRES OPERATED,27800000,,
2017,YEAR,Montana,FARM OPERATIONS - ACRES OPERATED,58100000,,
2017,YEAR,Nebraska,FARM OPERATIONS - ACRES OPERATED,45000000,,
2017,YEAR,Nevada,FARM OPERATIONS - ACRES OPERATED,6100000,,
2017,YEAR,New Hampshire,FARM OPERATIONS - ACRES OPERATED,430000,,
2017,YEAR,New Jersey,FARM OPERATIONS - ACRES OPERATED,730000,,
2017,YEAR,New Mexico,FARM OPERATIONS - ACRES OPERATED,40700000,,
2017,YEAR,New York,FARM OPERATIONS - ACRES OPERATED,6900000,,
2017,YEAR,North Carolina,FARM OPERATIONS - ACRES OPERATED,8400000,,
2017,YEAR,North Dakota,FARM OPERATIONS - ACRES OPERATED,39300000,,
2017,YEAR,Ohio,FARM OPERATIONS - ACRES OPERATED,14000000,,
2017,YEAR,Oklahoma,FARM OPERATIONS - ACRES OPERATED,34200000,,
2017,YEAR,Oregon,FARM OPERATIONS - ACRES OPERATED,16000000,,
2017,YEAR,Other States,FARM OPERATIONS - ACRES OPERATED,0,,
2017,YEAR,Pennsylvania,FARM OPERATIONS - ACRES OPERATED,7300000,,
2017,YEAR,Rhode Island,FARM OPERATIONS - ACRES OPERATED,60000,,
2017,YEAR,South Carolina,FARM OPERATIONS - ACRES OPERATED,4700000,,
2017,YEAR,South Dakota,FARM OPERATIONS - ACRES OPERATED,43200000,,
2017,YEAR,Tennessee,FARM OPERATIONS - ACRES OPERATED,10900000,,
2017,YEAR,Texas,FARM OPERATIONS - ACRES OPERATED,127000000,,
2017,YEAR,Utah,FARM OPERATIONS - ACRES OPERATED,10800000,,
2017,YEAR,Vermont,FARM OPERATIONS - ACRES OPERATED,1200000,,
2017,YEAR,Virginia,FARM OPERATIONS - ACRES OPERATED,7800000,,
2017,YEAR,Washington,FARM OPERATIONS - ACRES OPERATED,14700000,,
2017,YEAR,West Virginia,FARM OPERATIONS - ACRES OPERATED,3700000,,
2017,YEAR,Wisconsin,FARM OPERATIONS - ACRES OPERATED,14300000,,
2017,YEAR,Wyoming,FARM OPERATIONS - ACRES OPERATED,29000000,,
2016,YEAR,Alabama,FARM OPERATIONS - ACRES OPERATED,8600000,,
2016,YEAR,Alaska,FARM OPERATIONS - ACRES OPERATED,850000,,
2016,YEAR,Arizona,FARM OPERATIONS - ACRES OPERATED,26100000,,
2016,YEAR,Arkansas,FARM OPERATIONS - ACRES OPERATED,13900000,,
2016,YEAR,California,FARM OPERATIONS - ACRES OPERATED,24800000,,
2016,YEAR,Colorado,FARM OPERATIONS - ACRES OPERATED,31700000,,
2016,YEAR,Connecticut,FARM OPERATIONS - ACRES OPERATED,390000,,
2016,YEAR,Delaware,FARM OPERATIONS - ACRES OPERATED,520000,,
2016,YEAR,Florida,FARM OPERATIONS - ACRES OPERATED,9600000,,
2016,YEAR,Georgia,FARM OPERATIONS - ACRES OPERATED,10000000,,
2016,YEAR,Hawaii,FARM OPERATIONS - ACRES OPERATED,1100000,,
2016,YEAR,Idaho,FARM OPERATIONS - ACRES OPERATED,11600000,,
2016,YEAR,Illinois,FARM OPERATIONS - ACRES OPERATED,27000000,,
2016,YEAR,Indiana,FARM OPERATIONS - ACRES OPERATED,14900000,,
2016,YEAR,Iowa,FARM OPERATIONS - ACRES OPERATED,30600000,,
2016,YEAR,Kansas,FARM OPERATIONS - ACRES OPERATED,45800000,,
2016,YEAR,Kentucky,FARM OPERATIONS - ACRES OPERATED,13000000,,
2016,YEAR,Louisiana,FARM OPERATIONS - ACRES OPERATED,8000000,,
2016,YEAR,Maine,FARM OPERATIONS - ACRES OPERATED,1300000,,
2016,YEAR,Maryland,FARM OPERATIONS - ACRES OPERATED,2000000,,
2016,YEAR,Massachusetts,FARM OPERATIONS - ACRES OPERATED,500000,,
2016,YEAR,Michigan,FARM OPERATIONS - ACRES OPERATED,9800000,,
2016,YEAR,Minnesota,FARM OPERATIONS - ACRES OPERATED,25600000,,
2016,YEAR,Mississippi,FARM OPERATIONS - ACRES OPERATED,10500000,,
2016,YEAR,Missouri,FARM OPERATIONS - ACRES OPERATED,27900000,,
2016,YEAR,Montana,FARM OPERATIONS - ACRES OPERATED,58400000,,
2016,YEAR,Nebraska,FARM OPERATIONS - ACRES OPERATED,45000000,,
2016,YEAR,Nevada,FARM OPERATIONS - ACRES OPERATED,6100000,,
2016,YEAR,New Hampshire,FARM OPERATIONS - ACRES OPERATED,430000,,
2016,YEAR,New Jersey,FARM OPERATIONS - ACRES OPERATED,730000,,
2016,YEAR,New Mexico,FARM OPERATIONS - ACRES OPERATED,41100000,,
2016,YEAR,New York,FARM OPERATIONS - ACRES OPERATED,7000000,,
2016,YEAR,North Carolina,FARM OPERATIONS - ACRES OPERATED,8500000,,
2016,YEAR,North Dakota,FARM OPERATIONS - ACRES OPERATED,39300000,,
2016,YEAR,Ohio,FARM OPERATIONS - ACRES OPERATED,14000000,,
2016,YEAR,Oklahoma,FARM OPERATIONS - ACRES OPERATED,34300000,,
2016,YEAR,Oregon,FARM OPERATIONS - ACRES OPERATED,16000000,,
2016,YEAR,Other States,FARM OPERATIONS - ACRES OPERATED,0,,
2016,YEAR,Pennsylvania,FARM OPERATIONS - ACRES OPERATED,7300000,,
2016,YEAR,Rhode Island,FARM OPERATIONS - ACRES OPERATED,60000,,
2016,YEAR,South Carolina,FARM OPERATIONS - ACRES OPERATED,4800000,,
2016,YEAR,South Dakota,FARM OPERATIONS - ACRES OPERATED,43300000,,
2016,YEAR,Tennessee,FARM OPERATIONS - ACRES OPERATED,10900000,,
2016,YEAR,Texas,FARM OPERATIONS - ACRES OPERATED,127500000,,
2016,YEAR,Utah,FARM OPERATIONS - ACRES OPERATED,10800000,,
2016,YEAR,Vermont,FARM OPERATIONS - ACRES OPERATED,1200000,,
2016,YEAR,Virginia,FARM OPERATIONS - ACRES OPERATED,7900000,,
2016,YEAR,Washington,FARM OPERATIONS - ACRES OPERATED,14700000,,
2016,YEAR,West Virginia,FARM OPERATIONS - ACRES OPERATED,3600000,,
2016,YEAR,Wisconsin,FARM OPERATIONS - ACRES OPERATED,14400000,,
2016,YEAR,Wyoming,FARM OPERATIONS - ACRES OPERATED,29300000,,
2015,YEAR,Alabama,FARM OPERATIONS - ACRES OPERATED,8700000,,
2015,YEAR,Alaska,FARM OPERATIONS - ACRES OPERATED,840000,,
2015,YEAR,Arizona,FARM OPERATIONS - ACRES OPERATED,26100000,,
2015,YEAR,Arkansas,FARM OPERATIONS - ACRES OPERATED,13800000,,
2015,YEAR,California,FARM OPERATIONS - ACRES OPERATED,24900000,,
2015,YEAR,Colorado,FARM OPERATIONS - ACRES OPERATED,31700000,,
2015,YEAR,Connecticut,FARM OPERATIONS - ACRES OPERATED,400000,,
2015,YEAR,Delaware,FARM OPERATIONS - ACRES OPERATED,520000,,
2015,YEAR,Florida,FARM OPERATIONS - ACRES OPERATED,9600000,,
2015,YEAR,Georgia,FARM OPERATIONS - ACRES OPERATED,9800000,,
2015,YEAR,Hawaii,FARM OPERATIONS - ACRES OPERATED,1100000,,
2015,YEAR,Idaho,FARM OPERATIONS - ACRES OPERATED,11700000,,
2015,YEAR,Illinois,FARM OPERATIONS - ACRES OPERATED,27000000,,
2015,YEAR,Indiana,FARM OPERATIONS - ACRES OPERATED,14900000,,
2015,YEAR,Iowa,FARM OPERATIONS - ACRES OPERATED,30600000,,
2015,YEAR,Kansas,FARM OPERATIONS - ACRES OPERATED,45900000,,
2015,YEAR,Kentucky,FARM OPERATIONS - ACRES OPERATED,13100000,,
2015,YEAR,Louisiana,FARM OPERATIONS - ACRES OPERATED,7900000,,
2015,YEAR,Maine,FARM OPERATIONS - ACRES OPERATED,1400000,,
2015,YEAR,Maryland,FARM OPERATIONS - ACRES OPERATED,2000000,,
2015,YEAR,Massachusetts,FARM OPERATIONS - ACRES OPERATED,500000,,
2015,YEAR,Michigan,FARM OPERATIONS - ACRES OPERATED,9800000,,
2015,YEAR,Minnesota,FARM OPERATIONS - ACRES OPERATED,25700000,,
2015,YEAR,Mississippi,FARM OPERATIONS - ACRES OPERATED,10600000,,
2015,YEAR,Missouri,FARM OPERATIONS - ACRES OPERATED,27900000,,
2015,YEAR,Montana,FARM OPERATIONS - ACRES OPERATED,58700000,,
2015,YEAR,Nebraska,FARM OPERATIONS - ACRES OPERATED,45100000,,
2015,YEAR,Nevada,FARM OPERATIONS - ACRES OPERATED,6000000,,
2015,YEAR,New Hampshire,FARM OPERATIONS - ACRES OPERATED,440000,,
2015,YEAR,New Jersey,FARM OPERATIONS - ACRES OPERATED,730000,,
2015,YEAR,New Mexico,FARM OPERATIONS - ACRES OPERATED,41600000,,
2015,YEAR,New York,FARM OPERATIONS - ACRES OPERATED,7000000,,
2015,YEAR,North Carolina,FARM OPERATIONS - ACRES OPERATED,8500000,,
2015,YEAR,North Dakota,FARM OPERATIONS - ACRES OPERATED,39300000,,
2015,YEAR,Ohio,FARM OPERATIONS - ACRES OPERATED,14000000,,
2015,YEAR,Oklahoma,FARM OPERATIONS - ACRES OPERATED,34300000,,
2015,YEAR,Oregon,FARM OPERATIONS - ACRES OPERATED,16200000,,
2015,YEAR,Other States,FARM OPERATIONS - ACRES OPERATED,0,,
2015,YEAR,Pennsylvania,FARM OPERATIONS - ACRES OPERATED,7500000,,
2015,YEAR,Rhode Island,FARM OPERATIONS - ACRES OPERATED,60000,,
2015,YEAR,South Carolina,FARM OPERATIONS - ACRES OPERATED,4800000,,
2015,YEAR,South Dakota,FARM OPERATIONS - ACRES OPERATED,43300000,,
2015,YEAR,Tennessee,FARM OPERATIONS - ACRES OPERATED,10900000,,
2015,YEAR,Texas,FARM OPERATIONS - ACRES OPERATED,128500000,,
2015,YEAR,Utah,FARM OPERATIONS - ACRES OPERATED,10900000,,
2015,YEAR,Vermont,FARM OPERATIONS - ACRES OPERATED,1200000,,
2015,YEAR,Virginia,FARM OPERATIONS - ACRES OPERATED,7900000,,
2015,YEAR,Washington,FARM OPERATIONS - ACRES OPERATED,14700000,,
