Year,State,Population
2005,United States,295516599
2005,Alabama,4569805
2005,Alaska,666946
2005,Arizona,5839077
2005,Arkansas,2781097
2005,California,35827943
2005,Colorado,4631888
2005,Connecticut,3506956
2005,Delaware,845150
2005,District of Columbia,567136
2005,Florida,17842038
2005,Georgia,8925922
2005,Hawaii,1292729
2005,Idaho,1428241
2005,Illinois,12609903
2005,Indiana,6278616
2005,Iowa,2964454
2005,Kansas,2745299
2005,Kentucky,4182742
2005,Louisiana,4576628
2005,Maine,1318787
2005,Maryland,5592379
2005,Massachusetts,6403290
2005,Michigan,10051137
2005,Minnesota,5119598
2005,Mississippi,2905943
2005,Missouri,5790300
2005,Montana,940102
2005,Nebraska,1761497
2005,Nevada,2432143
2005,New Hampshire,1298492
2005,New Jersey,8651974
2005,New Mexico,1932274
2005,New York,19132610
2005,North Carolina,8705407
2005,North Dakota,646089
2005,Ohio,11463320
2005,Oklahoma,3548597
2005,Oregon,3613202
2005,Pennsylvania,12449990
2005,Rhode Island,1067916
2005,South Carolina,4270150
2005,South Dakota,775493
2005,Tennessee,5991057
2005,Texas,22778123
2005,Utah,2457719
2005,Vermont,621215
2005,Virginia,7577105
2005,Washington,6257305
2005,West Virginia,1820492
2005,Wisconsin,5546166
2005,Wyoming,514157
2006,United States,298379912
2006,Alabama,4628981
2006,Alaska,675302
2006,Arizona,6029141
2006,Arkansas,2821761
2006,California,36021202
2006,Colorado,4720423
2006,Connecticut,3517460
2006,Delaware,859268
2006,District of Columbia,570681
2006,Florida,18166990
2006,Georgia,9155813
2006,Hawaii,1309731
2006,Idaho,1468669
2006,Illinois,12643955
2006,Indiana,6332669
2006,Iowa,2982644
2006,Kansas,2762931
2006,Kentucky,4219239
2006,Louisiana,4302665
2006,Maine,1323619
2006,Maryland,5627367
2006,Massachusetts,6410084
2006,Michigan,10036081
2006,Minnesota,5163555
2006,Mississippi,2904978
2006,Missouri,5842704
2006,Montana,952692
2006,Nebraska,1772693
2006,Nevada,2522658
2006,New Hampshire,1308389
2006,New Jersey,8661679
2006,New Mexico,1962137
2006,New York,19104631
2006,North Carolina,8917270
2006,North Dakota,649422
2006,Ohio,11481213
2006,Oklahoma,3594090
2006,Oregon,3670883
2006,Pennsylvania,12510809
2006,Rhode Island,1063096
2006,South Carolina,4357847
2006,South Dakota,783033
2006,Tennessee,6088766
2006,Texas,23359580
2006,Utah,2525507
2006,Vermont,622892
2006,Virginia,7673725
2006,Washington,6370753
2006,West Virginia,1827912
2006,Wisconsin,5577655
2006,Wyoming,522667
2007,United States,301231207
2007,Alabama,4672840
2007,Alaska,680300
2007,Arizona,6167681
2007,Arkansas,2848650
2007,California,36250311
2007,Colorado,4803868
2007,Connecticut,3527270
2007,Delaware,871749
2007,District of Columbia,574404
2007,Florida,18367842
2007,Georgia,9349988
2007,Hawaii,1315675
2007,Idaho,1505105
2007,Illinois,12695866
2007,Indiana,6379599
2007,Iowa,2999212
2007,Kansas,2783785
2007,Kentucky,4256672
2007,Louisiana,4375581
2007,Maine,1327040
2007,Maryland,5653408
2007,Massachusetts,6431559
2007,Michigan,10001284
2007,Minnesota,5207203
2007,Mississippi,2928350
2007,Missouri,5887612
2007,Montana,964706
2007,Nebraska,1783440
2007,Nevada,2601072
2007,New Hampshire,1312540
2007,New Jersey,8677885
2007,New Mexico,1990070
2007,New York,19132335
2007,North Carolina,9118037
2007,North Dakota,652822
2007,Ohio,11500468
2007,Oklahoma,3634349
2007,Oregon,3722417
2007,Pennsylvania,12563937
2007,Rhode Island,1057315
2007,South Carolina,4444110
2007,South Dakota,791623
2007,Tennessee,6175727
2007,Texas,23831983
2007,Utah,2597746
2007,Vermont,623481
2007,Virginia,7751000
2007,Washington,6461587
2007,West Virginia,1834052
2007,Wisconsin,5610775
2007,Wyoming,534876
2008,United States,304093966
2008,Alabama,4718206
2008,Alaska,687455
2008,Arizona,6280362
2008,Arkansas,2874554
2008,California,36604337
2008,Colorado,4889730
2008,Connecticut,3545579
2008,Delaware,883874
2008,District of Columbia,580236
2008,Florida,18527305
2008,Georgia,9504843
2008,Hawaii,1332213
2008,Idaho,1534320
2008,Illinois,12747038
2008,Indiana,6424806
2008,Iowa,3016734
2008,Kansas,2808076
2008,Kentucky,4289878
2008,Louisiana,4435586
2008,Maine,1330509
2008,Maryland,5684965
2008,Massachusetts,6468967
2008,Michigan,9946889
2008,Minnesota,5247018
2008,Mississippi,2947806
2008,Missouri,5923916
2008,Montana,976415
2008,Nebraska,1796378
2008,Nevada,2653630
2008,New Hampshire,1315906
2008,New Jersey,8711090
2008,New Mexico,2010662
2008,New York,19212436
2008,North Carolina,9309449
2008,North Dakota,657569
2008,Ohio,11515391
2008,Oklahoma,3668976
2008,Oregon,3768748
2008,Pennsylvania,12612285
2008,Rhode Island,1055003
2008,South Carolina,4528996
2008,South Dakota,799124
2008,Tennessee,6247411
2008,Texas,24309039
2008,Utah,2663029
2008,Vermont,624151
2008,Virginia,7833496
2008,Washington,6562231
2008,West Virginia,1840310
2008,Wisconsin,5640996
2008,Wyoming,546043
2009,United States,306771529
2009,Alabama,4757938
2009,Alaska,698895
2009,Arizona,6343154
2009,Arkansas,2896843
2009,California,36961229
2009,Colorado,4972195
2009,Connecticut,3561807
2009,Delaware,891730
2009,District of Columbia,592228
2009,Florida,18652644
2009,Georgia,9620846
2009,Hawaii,1346717
2009,Idaho,1554439
2009,Illinois,12796778
2009,Indiana,6459325
2009,Iowa,3032870
2009,Kansas,2832704
2009,Kentucky,4317074
2009,Louisiana,4491648
2009,Maine,1329590
2009,Maryland,5730388
2009,Massachusetts,6517613
2009,Michigan,9901591
2009,Minnesota,5281203
2009,Mississippi,2958774
2009,Missouri,5961088
2009,Montana,983982
2009,Nebraska,1812683
2009,Nevada,2684665
2009,New Hampshire,1316102
2009,New Jersey,8755602
2009,New Mexico,2036802
2009,New York,19307066
2009,North Carolina,9449566
2009,North Dakota,664968
2009,Ohio,11528896
2009,Oklahoma,3717572
2009,Oregon,3808600
2009,Pennsylvania,12666858
2009,Rhode Island,1053646
2009,South Carolina,4589872
2009,South Dakota,807067
2009,Tennessee,6306019
2009,Texas,24801761
2009,Utah,2723421
2009,Vermont,624817
2009,Virginia,7925937
2009,Washington,6667426
2009,West Virginia,1847775
2009,Wisconsin,5669264
2009,Wyoming,559851
2010,United States,309321666
2010,Alabama,4785437
2010,Alaska,713910
2010,Arizona,6407172
2010,Arkansas,2921964
2010,California,37319502
2010,Colorado,5047349
2010,Connecticut,3579114
2010,Delaware,899593
2010,District of Columbia,605226
2010,Florida,18845537
2010,Georgia,9711881
2010,Hawaii,1363963
2010,Idaho,1570746
2010,Illinois,12840503
2010,Indiana,6490432
2010,Iowa,3050745
2010,Kansas,2858190
2010,Kentucky,4348181
2010,Louisiana,4544532
2010,Maine,1327629
2010,Maryland,5788645
2010,Massachusetts,6566307
2010,Michigan,9877510
2010,Minnesota,5310828
2010,Mississippi,2970548
2010,Missouri,5995974
2010,Montana,990697
2010,Nebraska,1829542
2010,Nevada,2702405
2010,New Hampshire,1316762
2010,New Jersey,8799446
2010,New Mexico,2064552
2010,New York,19399878
2010,North Carolina,9574323
2010,North Dakota,674715
2010,Ohio,11539336
2010,Oklahoma,3759944
2010,Oregon,3837491
2010,Pennsylvania,12711160
2010,Rhode Island,1053959
2010,South Carolina,4635649
2010,South Dakota,816166
2010,Tennessee,6355311
2010,Texas,25241971
2010,Utah,2775332
2010,Vermont,625879
2010,Virginia,8023699
2010,Washington,6742830
2010,West Virginia,1854239
2010,Wisconsin,5690475
2010,Wyoming,564487
2011,United States,311556874
2011,Alabama,4799069
2011,Alaska,722128
2011,Arizona,6472643
2011,Arkansas,2940667
2011,California,37638369
2011,Colorado,5121108
2011,Connecticut,3588283
2011,Delaware,907381
2011,District of Columbia,619800
2011,Florida,19053237
2011,Georgia,9802431
2011,Hawaii,1379329
2011,Idaho,1583910
2011,Illinois,12867454
2011,Indiana,6516528
2011,Iowa,3066336
2011,Kansas,2869225
2011,Kentucky,4369821
2011,Louisiana,4575625
2011,Maine,1328284
2011,Maryland,5839419
2011,Massachusetts,6613583
2011,Michigan,9882412
2011,Minnesota,5346143
2011,Mississippi,2978731
2011,Missouri,6010275
2011,Montana,997316
2011,Nebraska,1840672
2011,Nevada,2712730
2011,New Hampshire,1320202
2011,New Jersey,8828117
2011,New Mexico,2080450
2011,New York,19499241
2011,North Carolina,9657592
2011,North Dakota,685225
2011,Ohio,11544663
2011,Oklahoma,3788379
2011,Oregon,3872036
2011,Pennsylvania,12745815
2011,Rhode Island,1053649
2011,South Carolina,4671994
2011,South Dakota,823579
2011,Tennessee,6399291
2011,Texas,25645629
2011,Utah,2814384
2011,Vermont,627049
2011,Virginia,8101155
2011,Washington,6826627
2011,West Virginia,1856301
2011,Wisconsin,5705288
2011,Wyoming,567299
2012,United States,313830990
2012,Alabama,4815588
2012,Alaska,730443
2012,Arizona,6554978
2012,Arkansas,2952164
2012,California,37948800
2012,Colorado,5192647
2012,Connecticut,3594547
2012,Delaware,915179
2012,District of Columbia,634924
2012,Florida,19297822
2012,Georgia,9901430
2012,Hawaii,1394804
2012,Idaho,1595324
2012,Illinois,12882510
2012,Indiana,6537703
2012,Iowa,3076190
2012,Kansas,2885257
2012,Kentucky,4386346
2012,Louisiana,4600972
2012,Maine,1327729
2012,Maryland,5886992
2012,Massachusetts,6663005
2012,Michigan,9897145
2012,Minnesota,5376643
2012,Mississippi,2983816
2012,Missouri,6024367
2012,Montana,1003783
2012,Nebraska,1853303
2012,Nevada,2743996
2012,New Hampshire,1324232
2012,New Jersey,8844942
2012,New Mexico,2087309
2012,New York,19572932
2012,North Carolina,9749476
2012,North Dakota,701176
2012,Ohio,11548923
2012,Oklahoma,3818814
2012,Oregon,3899001
2012,Pennsylvania,12767118
2012,Rhode Island,1054621
2012,South Carolina,4717354
2012,South Dakota,833566
2012,Tennessee,6453898
2012,Texas,26084481
2012,Utah,2853375
2012,Vermont,626090
2012,Virginia,8185080
2012,Washington,6897058
2012,West Virginia,1856872
2012,Wisconsin,5719960
2012,Wyoming,576305
2013,United States,315993715
2013,Alabama,4830081
2013,Alaska,737068
2013,Arizona,6632764
2013,Arkansas,2959400
2013,California,38260787
2013,Colorado,5269035
2013,Connecticut,3594841
2013,Delaware,923576
2013,District of Columbia,650581
2013,Florida,19545621
2013,Georgia,9972479
2013,Hawaii,1408243
2013,Idaho,1611206
2013,Illinois,12895129
2013,Indiana,6568713
2013,Iowa,3092997
2013,Kansas,2893212
2013,Kentucky,4404659
2013,Louisiana,4624527
2013,Maine,1328009
2013,Maryland,5923188
2013,Massachusetts,6713315
2013,Michigan,9913065
2013,Minnesota,5413479
2013,Mississippi,2988711
2013,Missouri,6040715
2013,Montana,1013569
2013,Nebraska,1865279
2013,Nevada,2775970
2013,New Hampshire,1326622
2013,New Jersey,8856972
2013,New Mexico,2092273
2013,New York,19624447
2013,North Carolina,9843336
2013,North Dakota,722036
2013,Ohio,11576684
2013,Oklahoma,3853214
2013,Oregon,3922468
2013,Pennsylvania,12776309
2013,Rhode Island,1055081
2013,South Carolina,4764080
2013,South Dakota,842316
2013,Tennessee,6494340
2013,Texas,26480266
2013,Utah,2897640
2013,Vermont,626210
2013,Virginia,8252427
2013,Washington,6963985
2013,West Virginia,1853914
2013,Wisconsin,5736754
2013,Wyoming,582122
2014,United States,318301008
2014,Alabama,4841799
2014,Alaska,736283
2014,Arizona,6730413
2014,Arkansas,2967392
2014,California,38596972
2014,Colorado,5350101
2014,Connecticut,3594524
2014,Delaware,932487
2014,District of Columbia,662328
2014,Florida,19845911
2014,Georgia,10067278
2014,Hawaii,1414538
2014,Idaho,1631112
2014,Illinois,12884493
2014,Indiana,6593644
2014,Iowa,3109350
2014,Kansas,2900475
2014,Kentucky,4414349
2014,Louisiana,4644013
2014,Maine,1330513
2014,Maryland,5957283
2014,Massachusetts,6762596
2014,Michigan,9929848
2014,Minnesota,5451079
2014,Mississippi,2990468
2014,Missouri,6056202
2014,Montana,1021869
2014,Nebraska,1879321
2014,Nevada,2817628
2014,New Hampshire,1333341
2014,New Jersey,8864525
2014,New Mexico,2089568
2014,New York,19651049
2014,North Carolina,9932887
2014,North Dakota,737401
2014,Ohio,11602700
2014,Oklahoma,3878187
2014,Oregon,3963244
2014,Pennsylvania,12788313
2014,Rhode Island,1055936
2014,South Carolina,4823617
2014,South Dakota,849129
2014,Tennessee,6541223
2014,Texas,26964333
2014,Utah,2936879
2014,Vermont,625214
2014,Virginia,8310993
2014,Washington,7054655
2014,West Virginia,1849489
2014,Wisconsin,5751525
2014,Wyoming,582531
2015,United States,320635163
2015,Alabama,4852347
2015,Alaska,737498
2015,Arizona,6829676
2015,Arkansas,2978048
2015,California,38918045
2015,Colorado,5450623
2015,Connecticut,3587122
2015,Delaware,941252
2015,District of Columbia,675400
2015,Florida,20209042
2015,Georgia,10178447
2015,Hawaii,1422052
2015,Idaho,1651059
2015,Illinois,12858913
2015,Indiana,6608422
2015,Iowa,3120960
2015,Kansas,2909011
2015,Kentucky,4425976
2015,Louisiana,4664628
2015,Maine,1328262
2015,Maryland,5985562
2015,Massachusetts,6794228
2015,Michigan,9931715
2015,Minnesota,5482032
2015,Mississippi,2988471
2015,Missouri,6071732
2015,Montana,1030475
2015,Nebraska,1891277
2015,Nevada,2866939
2015,New Hampshire,1336350
2015,New Jersey,8867949
2015,New Mexico,2089291
2015,New York,19654666
2015,North Carolina,10031646
2015,North Dakota,754066
2015,Ohio,11617527
2015,Oklahoma,3909500
2015,Oregon,4015792
2015,Pennsylvania,12784826
2015,Rhode Island,1056065
2015,South Carolina,4891938
2015,South Dakota,853988
2015,Tennessee,6591170
2015,Texas,27470056
2015,Utah,2981835
2015,Vermont,625216
2015,Virginia,8361808
2015,Washington,7163657
2015,West Virginia,1842050
2015,Wisconsin,5760940
2015,Wyoming,585613
2016,United States,322941311
2016,Alabama,4863525
2016,Alaska,741456
2016,Arizona,6941072
2016,Arkansas,2989918
2016,California,39167117
2016,Colorado,5539215
2016,Connecticut,3578141
2016,Delaware,948921
2016,District of Columbia,685815
2016,Florida,20613477
2016,Georgia,10301890
2016,Hawaii,1427559
2016,Idaho,1682380
2016,Illinois,12820527
2016,Indiana,6634304
2016,Iowa,3131371
2016,Kansas,2910844
2016,Kentucky,4438182
2016,Louisiana,4678135
2016,Maine,1331317
2016,Maryland,6003323
2016,Massachusetts,6823608
2016,Michigan,9950571
2016,Minnesota,5522744
2016,Mississippi,2987938
2016,Missouri,6087135
2016,Montana,1040859
2016,Nebraska,1905616
2016,Nevada,2917563
2016,New Hampshire,1342307
2016,New Jersey,8870827
2016,New Mexico,2091630
2016,New York,19633428
2016,North Carolina,10154788
2016,North Dakota,754434
2016,Ohio,11634370
2016,Oklahoma,3926331
2016,Oregon,4089976
2016,Pennsylvania,12782275
2016,Rhode Island,1056770
2016,South Carolina,4957968
2016,South Dakota,862996
2016,Tennessee,6646010
2016,Texas,27914410
2016,Utah,3041868
2016,Vermont,623657
2016,Virginia,8410106
2016,Washington,7294771
2016,West Virginia,1831023
2016,Wisconsin,5772628
2016,Wyoming,584215
2017,United States,324985539
2017,Alabama,4874486
2017,Alaska,739700
2017,Arizona,7044008
2017,Arkansas,3001345
2017,California,39358497
2017,Colorado,5611885
2017,Connecticut,3573297
2017,Delaware,956823
2017,District of Columbia,694906
2017,Florida,20963613
2017,Georgia,10410330
2017,Hawaii,1424393
2017,Idaho,1717715
2017,Illinois,12778828
2017,Indiana,6658078
2017,Iowa,3141550
2017,Kansas,2908718
2017,Kentucky,4452268
2017,Louisiana,4670560
2017,Maine,1334612
2017,Maryland,6023868
2017,Massachusetts,6859789
2017,Michigan,9973114
2017,Minnesota,5566230
2017,Mississippi,2988510
2017,Missouri,6106670
2017,Montana,1052482
2017,Nebraska,1915947
2017,Nevada,2969905
2017,New Hampshire,1348787
2017,New Jersey,8885525
2017,New Mexico,2091784
2017,New York,19589572
2017,North Carolina,10268233
2017,North Dakota,754942
2017,Ohio,11659650
2017,Oklahoma,3931316
2017,Oregon,4143625
2017,Pennsylvania,12787641
2017,Rhode Island,1055673
2017,South Carolina,5021268
2017,South Dakota,872868
2017,Tennessee,6708799
2017,Texas,28295273
2017,Utah,3101042
2017,Vermont,624344
2017,Virginia,8463587
2017,Washington,7423362
2017,West Virginia,1817004
2017,Wisconsin,5790186
2017,Wyoming,578931
2018,United States,326687501
2018,Alabama,4887681
2018,Alaska,735139
2018,Arizona,7158024
2018,Arkansas,3009733
2018,California,39461588
2018,Colorado,5691287
2018,Connecticut,3571520
2018,Delaware,965479
2018,District of Columbia,701547
2018,Florida,21244317
2018,Georgia,10511131
2018,Hawaii,1420593
2018,Idaho,1750536
2018,Illinois,12723071
2018,Indiana,6695497
2018,Iowa,3148618
2018,Kansas,2911359
2018,Kentucky,4461153
2018,Louisiana,4659690
2018,Maine,1339057
2018,Maryland,6035802
2018,Massachusetts,6882635
2018,Michigan,9984072
2018,Minnesota,5606249
2018,Mississippi,2981020
2018,Missouri,6121623
2018,Montana,1060665
2018,Nebraska,1925614
2018,Nevada,3027341
2018,New Hampshire,1353465
2018,New Jersey,8886025
2018,New Mexico,2092741
2018,New York,19530351
2018,North Carolina,10381615
2018,North Dakota,758080
2018,Ohio,11676341
2018,Oklahoma,3940235
2018,Oregon,4181886
2018,Pennsylvania,12800922
2018,Rhode Island,1058287
2018,South Carolina,5084156
2018,South Dakota,878698
2018,Tennessee,6771631
2018,Texas,28628666
2018,Utah,3153550
2018,Vermont,624358
2018,Virginia,8501286
2018,Washington,7523869
2018,West Virginia,1804291
2018,Wisconsin,5807406
2018,Wyoming,577601
2019,United States,328239523
2019,Alabama,4903185
2019,Alaska,731545
2019,Arizona,7278717
2019,Arkansas,3017804
2019,California,39512223
2019,Colorado,5758736
2019,Connecticut,3565287
2019,Delaware,973764
2019,District of Columbia,705749
2019,Florida,21477737
2019,Georgia,10617423
2019,Hawaii,1415872
2019,Idaho,1787065
2019,Illinois,12671821
2019,Indiana,6732219
2019,Iowa,3155070
2019,Kansas,2913314
2019,Kentucky,4467673
2019,Louisiana,4648794
2019,Maine,1344212
2019,Maryland,6045680
2019,Massachusetts,6892503
2019,Michigan,9986857
2019,Minnesota,5639632
2019,Mississippi,2976149
2019,Missouri,6137428
2019,Montana,1068778
2019,Nebraska,1934408
2019,Nevada,3080156
2019,New Hampshire,1359711
2019,New Jersey,8882190
2019,New Mexico,2096829
2019,New York,19453561
2019,North Carolina,10488084
2019,North Dakota,762062
2019,Ohio,11689100
2019,Oklahoma,3956971
2019,Oregon,4217737
2019,Pennsylvania,12801989
2019,Rhode Island,1059361
2019,South Carolina,5148714
2019,South Dakota,884659
2019,Tennessee,6829174
2019,Texas,28995881
2019,Utah,3205958
2019,Vermont,623989
2019,Virginia,8535519
2019,Washington,7614893
2019,West Virginia,1792147
2019,Wisconsin,5822434
2019,Wyoming,578759